name,website,company_size,industry,headquarters_city,headquarters_country,type,year_founded,followers,about_us,Lang_1,Lang_2,Lang_3,Lang_4,Lang_5,Projects in their portfolio,rating,review_count,service_1,service_2,service_3,service_4,service_5,service_6,service_7,service_8,service_9,service_10,service_11,service_12,service_13,service_14,service_15,service_16,service_17,service_18,service_19,service_20,service_21,service_22,service_23,service_24
Billber - Tu equipo de Growth Marketing,https://www.agenciabillber.es?utm_source=sortlist&utm_medium=profile&utm_campaign=,4.0,Video Focus,Gijón,Spain,,2021.0,0,"En Billber somos expertos en crear conexiones significativas entre las marcas y las personas. Desarrollamos estrategias de marketing integrales que combinan la creatividad, la tecnología y el enfoque en el negocio para ofrecer soluciones innovadoras y efectivas, centradas en conseguir el máximo retorno. Desde el diseño de la identidad de marca hasta la estrategia e implementación de campañas de marketing multicanal, trabajamos en estrecha colaboración con nuestros clientes para comprender sus objetivos y necesidades específicas. Somos el partner estratégico que impulsa la transformación digital y el éxito de las marcas, proporcionando un impacto real en su crecimiento y rentabilidad. Nuestro compromiso es ofrecer el mayor retorno de inversión posible, centrando nuestros esfuerzos en aquellas acciones que generan resultados efectivos y duraderos.",English,Spanish,,,,15.0,5.0,11.0,growth marketing,digital strategy,branding & positioning,marketing,graphic design,influencer marketing,email marketing,seo,content strategy,social media,,,,,,,,,,,,,,
Infinity Animations,,250.0,Video Focus,New York,United States,,2018.0,0,"Infinity Animations is a leading animation studio specializing in high-quality animations, including 2D and 3D animation, visual effects, and motion graphics. The company is committed to delivering exceptional creative solutions for various industries, including film, television, advertising, and gaming.",English,,,,,77.0,5.0,5.0,3d,motion design,graphic design,video production,,,,,,,,,,,,,,,,,,,,
Capital Panache,http://www.capitalpanache.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,5.0,Video Focus,Brussels,Belgium,,2015.0,0,"Capital  is related to our style: big, bold and catchy. We love smart and impactful visuals. This first word also relates to our Belgian roots : our company is based in Brussels, the capital of Belgium and of the EU. Finally, there is a concept in the french language known as « capital sympathie » which implies natural, genuine relationships. This is something we greatly care about and seek to implement with all of our clients. Panache  is for the way we work: with passion, taste and determination. Panache is not a word you hear everyday, but you can hear it in Toy Story. Woody : « J’appelle ça tomber avec panache ! ». This may actually be the most important reason.",English,French,,,,27.0,4.99,14.0,graphic identity,branding & positioning,graphic design,advertising,motion design,video production,website creation,,,,,,,,,,,,,,,,,
Black Camel Agency,,21.0,Video Focus,Durham,United States,,2022.0,0,"When it comes to B2B advertising, bland has become the new normal. So why stick with the normal and blend in with more boring advertising? Why not stand out? Why not be remembered? Black Camel helps B2B brands create unapologetic, loud, engaging, and different advertising. So if you want to stop “investing” your ad budgets in invisible B2B advertising we’re here to help.",English,,,,,15.0,5.0,2.0,video production,,,,,,,,,,,,,,,,,,,,,,,
EXODUS Productora Audiovisual Barcelona,,2.0,Video Focus,Cornellà de Llobregat,Spain,,2019.0,0,"En EXODUS , damos vida a grandes ideas. Somos especialistas en la creación de contenido que inspira, emociona y conecta con el público. Trabajamos con marcas que buscan algo más que un simple vídeo: buscan impactar. Con más de una década de experiencia, hemos colaborado con agencias creativas y grandes marcas, combinando creatividad y estrategia para desarrollar contenido audiovisual con identidad propia. Cada proyecto es único. Desde la idea inicial hasta la postproducción, cuidamos cada detalle para lograr producciones que no solo se ven, sino que se sienten. NIKE, Bioderma, Adidas y CaixaBank ya han confiado en nosotros. ¿Y tú?",Catalan,English,Spanish,,,7.0,5.0,1.0,video production,advertising,motion design,event,,,,,,,,,,,,,,,,,,,,
Instant Waves,http://www.instantwaves.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,16.0,Video Focus,Berlin,Germany,,2015.0,0,"Our scalable plug-and-play team links up with your marketing team and creatives who are right for your project. Wherever a production starts and in the way that suits your needs best. We produce content worldwide on behalf of national and international brands . Our focus is always on turning content into experiences that go beyond clicks and sales, wether shooting on location or in our very own Neon Island Studios . We stand for quality rather than quantity. Instant Waves is your creative video and photo agency from Berlin-Kreuzberg.",English,French,German,Spanish,,25.0,4.88,4.0,video production,advertising,content strategy,social media,influencer marketing,,,,,,,,,,,,,,,,,,,
VORSPRUNG,,6.0,Video Focus,Berlin,Germany,,2014.0,0,"vorsprung media GmbH ist eine innovative Video- und Social-Media-Agentur mit Sitz im legendären Studio Babelsberg. Wir sind spezialisiert auf die Produktion hochwertiger Imagefilme, Werbevideos und Social-Media-Content, der Ihre Marke authentisch und unvergesslich macht.",English,German,,,,37.0,4.85,5.0,video production,advertising,social media,branding & positioning,,,,,,,,,,,,,,,,,,,,
Smoking Chimney,,20.0,Video Focus,Pimpri-Chinchwad,India,,2022.0,0,"Smoking Chimney Studios weaves storytelling with the power of AI and advertising to build meaningful connections for people; headquartered in Pune, India, and with a global presence from Berlin, Germany, we are much more than a creative agency, tech consultancy, or ad firm—being a partner who brings your vision to life. Our passion for creating meaningful stories in feature films, documentaries, or intuitive digital experiences drives our team. We design ad campaigns that do more than distract: they build interest, and interest builds connection in the overcrowded marketplace of today. We also operate AI to create solutions that feel human, not just automated. From Natural Language Processing that fosters real conversations to Predictive Analytics that guide smart decisions, our AI services bring a layer of intelligence that enhances the human experience. Smoking Chimney Studios believes in the creation of journeys, campaigns, and experiences that leave lasting impressions. If you're looking for a partner that understands the power of creativity, technology, and heart, we are here to collaborate. Let's create something unforgettable together.",English,Hindi,,,,3.0,5.0,4.0,video production,advertising,content strategy,digital strategy,audio production,motion design,ergonomy (ux/ui),3d,website creation,mobile app,,,,,,,,,,,,,,
The Orchard Media & Events Group,,64.0,Video Focus,Cardiff,United Kingdom,,2010.0,0,"We're an award-winning, multi-disciplinary, integrated marketing agency based in Cardiff, UK. We help brands and organisations to connect with their audiences, through tactical insight and strategy, bold ideas and concepts, innovative products and experiences, and smart business thinking. From video production and events management to strategic communications, content marketing and branding, we work with organisations across the globe to deliver bespoke, effective campaigns to solve their creative and commercial challenges. Collaboration is an intrinsic part of our process. We work closely with clients and partners to establish and define their brief, use insight and experience to refine the idea, and select the best specialists from our in-house team and beyond to provide effective and demonstrable results for your business. IPA members",English,French,German,Welsh,,11.0,4.5,4.0,advertising,branding & positioning,media planning,event,video production,marketing,content strategy,digital strategy,graphic design,public relations (pr),,,,,,,,,,,,,,
CoHo - The Content House,,9.0,Video Focus,Frederiksberg,Denmark,,2023.0,0,"CoHo is a content production studio based in Copenhagen, built with one big goal: to make high-quality content accessible for every brand, not just a luxury for the few.",Danish,English,,,,5.0,5.0,3.0,photography,copywriting,video production,audio production,motion design,content strategy,advertising,social media,,,,,,,,,,,,,,,,
Adswell,https://theadswell.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,60.0,Video Focus,First New Cairo,Egypt,,2020.0,0,"Adswell Agency is a premier digital marketing agency based in Egypt, renowned for its commitment to driving business transformation across the MENA region through innovative digital marketing solutions. Our mission is to empower businesses of all sizes by leveraging the power of digital channels to foster growth and success. At Adswell, we pride ourselves on our extensive expertise, which spans the entire spectrum of digital marketing services, including search engine optimization (SEO), social media marketing, content creation, pay-per-click advertising, and more. This comprehensive approach ensures that our clients receive tailored strategies specifically designed to meet their unique needs and objectives. Our Services: --------- Marketing Digital Marketing Growth Marketing SEO Media Planning Social Media Market Research Graphic Design Video Production Branding & Positioning Advertising",Arabic,English,,,,75.0,5.0,43.0,marketing,digital strategy,growth marketing,seo,media planning,social media,graphic design,market research,video production,branding & positioning,,,,,,,,,,,,,,
Beben Media GmbH,https://www.beben-berlin.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,9.0,Video Focus,Berlin,Germany,,2020.0,0,"Wir sind Beben Berlin, eine Marketing und Videoproduktionsfirma aus Berlin. Wir produzieren nicht nur den Content, in Form von Video/Grafik/Animation, sondern entwickeln auch die Strategie dahinter. Dadurch können wir Projekte ganzheitlich realisieren. 2020 haben wir uns gegründet und haben einen Standort in Berlin und in Stuttgart. In den letzten Jahren haben wir für Firmen gearbeitet wie Samsung, Arte, TikTok, Berlin Science Week oder auch Sony Music.",English,German,,,,17.0,5.0,2.0,content strategy,video production,community management,photography,social media,graphic design,influencer marketing,motion design,digital strategy,marketing,,,,,,,,,,,,,,
Machiavel Studios,,15.0,Video Focus,Montreal,Canada,,2018.0,0,"Machiavel Studios is the video marketing agency for black sheep. Born from the union of our marketing expertise and our experience in video production, we work with entrepreneurs to help them get out of the herd and achieve their ambitions. Our turnkey service, from creation to broadcasting, including filming and editing, has allowed us to bring companies and organizations such as Startup Montreal, Front Row Ventures, Metro Media, Meta4 Interactive and many others become disruptive voices in their market. Our unique video production process joins our 15 years of creative experience in video production and innovative campaign marketing strategies.",English,French,Italian,,,15.0,4.99,14.0,photography,advertising,3d,event,motion design,audio production,social media,video production,marketing,,,,,,,,,,,,,,,
Your-Comics,,20.0,Video Focus,Paris,France,,2014.0,0,"Your-Comics est une agence de communication visuelle basée à Paris. Nous transformons les messages complexes d'entreprise en visuels accessibles et impactants : bande dessinée , la vidéo en motion design ou scribing , infographie, livrets . Notre équipe est aujourd’hui composée de scénaristes, rédacteurs, graphistes, illustrateurs, motion designers et de chefs de projet issus du monde de l’entreprise ce qui permet de répondre au mieux à votre demande et d’en cerner toutes les perspectives. Your-Comics va créer pour chaque client un style unique totalement personnalisé . Nous prenons en main votre projet, de la mise en place du scénario jusqu’à la livraison du projet final aussi bien adapté au  print  qu’au  digital . --- Your Comics is a Paris based communication agency. Our mission is to demonstrate and explain complex notions in a much easier way, to make your message clear, playful and impacting through creative storytelling and inspired graphic universe. We use mediums such as comics, motion design, scribing or infographics. Our team involves experienced scenarists, scriptwriters, graphic designers, illustrators, motion designers and project managers to fill all your specifics needs. Our aim is to create a very unique style for each client . We will carry your project from the creation of the scenario to the project delivery, should it be print or digital .",English,French,,,,18.0,4.99,11.0,video production,motion design,graphic design,graphic identity,print,digital strategy,social media,,,,,,,,,,,,,,,,,
BrandMyBrand.io,https://www.brandmybrand.io?utm_source=sortlist&utm_medium=profile&utm_campaign=,6.0,Video Focus,Vienna,Austria,,2021.0,0,"We focus on content creation, strategy and planning, websites and social media management. We are the modern and creative go-to for your perfect online presence. We help you to present your products, locations and services in a professional manner and thus create a professional positioning. Your expertise, our know-how, our implementation. You can concentrate on what you do best: We take care of your online visibility and growth. Our clients include doctors, beauty clinics, products with online shops, property developers and service providers.",English,German,,,,19.0,5.0,1.0,website creation,video production,social media,branding & positioning,online advertising,graphic design,marketing,community management,website administration,packaging,,,,,,,,,,,,,,
The Colours Box,http://www.thecoloursbox.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,10.0,Video Focus,Barcelona,Spain,,2007.0,0,"DESCRIPCIÓN COLOURS ( thecoloursbox.com ) es una agencia de creación y producción de contenidos . Contenidos audiovisuales, gráficos, escritos, sonoros... Contenidos que seducen, emocionan, entretienen, forman o informan. Contenidos capaces de transformarse en leads que gererarán ventas para su empresa. Somos especialistas en publicidad , creación y producción de video , estrategia de marketing y comunicación , inbound marketing, marketing digital y creación de eventos . SERVICIOS - PUBLICIDAD B2B Y B2B - PRODUCCIÓN DE VIDEO (SPOTS, VIDEOS CORPORATIVOS, VIDEOS DE PRODUCTO, CASE STORIES, DEMOS...) - ESTRATEGIAS DE MARKETING Y COMUNICACIÓN - INBOUND MARKETING Y MARKETING DIGITAL - DISEÑO GRÁFICO - MARKETING DE CONTENIDOS Y BRANDED CONTENT - COMUNICACIÓN INTERNA - EVENT MARKETING INBOUND COLOURS ( https://inboundcolours.com ) es nuestra agencia de marketing digital especializada en inbound marketing e inbound sales. La agencia es partner de HubSpot, líder en herramientas de automatización y el CRM de referencia en marketing y ventas.",Catalan,English,French,Italian,Spanish,33.0,4.88,4.0,video production,advertising,digital strategy,website creation,marketing,content strategy,branding & positioning,graphic design,online advertising,social media,,,,,,,,,,,,,,
Kayana Creative,,25.0,Video Focus,Denpasar City,Indonesia,,2013.0,0,"Kayana Creative is a dynamic branding and digital marketing agency based in Bali and Jakarta. The agency specializes in providing comprehensive marketing solutions, including digital marketing, branding, social media management, and content creation. With a focus on creativity and effectiveness, Kayana Creative aims to help businesses grow and succeed in a competitive market. The agency's portfolio includes diverse clients from various industries such as construction, hospitality, and real estate. Known for their innovative approach and commitment to delivering high-quality results, Kayana Creative continues to support and enhance the growth of over 70 brands through their expert digital marketing and creative services.",English,Indonesian,,,,14.0,4.5,4.0,social media,website creation,branding & positioning,video production,content strategy,e-commerce,ergonomy (ux/ui),graphic design,graphic identity,photography,,,,,,,,,,,,,,
BRANDING-LY,,10.0,Video Focus,Dhaka,Bangladesh,,2022.0,0,"At Branding-ly, we know how important marketing is in today’s competitive world. Positioned as a leading marketing agency in Dhaka, we don’t just want to be a regular marketing agency; we aim to be an integral part of the businesses we serve. 2022, our main goal is to cater marketing needs of all types of businesses. Unlike any other marketing company in Dhaka, we want to change how marketing works. We want to mix creativity, smart data, and cool technology to make marketing even better.",English,,,,,23.0,4.95,4.0,video production,social media,copywriting,graphic design,marketing,photography,event,3d,print,branding & positioning,,,,,,,,,,,,,,
PANORAMA3000,http://www.p3000.net?utm_source=sortlist&utm_medium=profile&utm_campaign=,30.0,Video Focus,Berlin,Germany,,2012.0,0,"🇬🇧 below 🇩🇪 // PANORAMA3000 ist eine postdigitale Kreativagentur aus Berlin. Wir denken social first, suchen immer nach dem Impact und den besten Ideen und kreativen Lösungen. Wir haben als eine der ersten Social-Media-Agenturen in Deutschland begonnen und bahnbrechende, preisgekrönte Kampagnen entwickelt, die Fans und Kunden einbinden und kanalübergreifende Geschichten erzählen. Heute denken wir zuerst an die sozialen Medien, suchen immer nach Wirkung und den besten Ideen und kreativen Lösungen. Und das für alle Branchen, von komplexen, internationalen B2B Projekten bis Gesundheit, FMCG oder öffentlichen Auftraggebern. Post digi - what..?! There is no such thing as ""digital"" and ""classical"" marketing and advertising anymore. Everything is connected, consumer attention switches from billboard to screen to touch in an instant. We started as one of Germany's first social media agencies and created groundbreaking campaigns which integrated fans and customers and told channel overarching stories. Today, we think social first, always look for impact, the best ideas and creative solutions. We do this across all industries, from complex international B2B projects to healthcare, FMCG, or public sector clients.",English,French,German,Spanish,Swedish,24.0,5.0,11.0,social media,branding & positioning,digital strategy,community management,website creation,advertising,online advertising,content strategy,influencer marketing,video production,,,,,,,,,,,,,,
Social Compass,,7.0,Video Focus,Amsterdam,Netherlands,,2019.0,0,"Bij Social Compass zorgen we ervoor dat jouw bedrijf uitblinkt op social media, zonder dat jij er omkijken naar hebt. Ons team van experts ontwikkelt een doordachte strategie die specifiek is afgestemd op jouw merk en doelgroep. Vervolgens creëren en beheren we inspirerende, consistente content en zetten we strategische advertenties in om je merk bij de juiste mensen onder de aandacht te brengen. Je kunt het beheer van je social media en online advertenties met een gerust hart aan ons overlaten, zodat jij je samen met ons kunt richten op wat echt telt: het laten groeien van je bedrijf. Of het nu gaat om organische groei, gerichte campagnes of het verhogen van conversies, wij zorgen voor meetbare resultaten die jouw online zichtbaarheid versterken en je bedrijf naar een hoger niveau tillen. Met Social Compass heb je een betrouwbare partner die alles regelt voor een vaste prijs per maand – geen verrassingen, alleen resultaten. At Social Compass, we ensure that your business stands out on social media, without you having to worry about it. Our team of experts develops a well-thought-out strategy tailored specifically to your brand and target audience. We then create and manage inspiring, consistent content and implement strategic advertising to get your brand in front of the right people. You can confidently leave the management of your social media and online advertising to us, allowing you to focus, together with us, on what really matters: growing your business. Whether it's organic growth, targeted campaigns, or increasing conversions, we deliver measurable results that enhance your online visibility and elevate your business to the next level. With Social Compass, you have a reliable partner that handles everything for a fixed monthly fee – no surprises, just results.",Dutch,English,,,,9.0,5.0,1.0,content strategy,online advertising,social media,photography,video production,branding & positioning,media planning,digital strategy,influencer marketing,growth marketing,,,,,,,,,,,,,,
Asia Media Publishing Group,,25.0,Video Focus,Bangkok,Thailand,,2016.0,0,"At Asia Media Publishing Group, we are the leading marketing and PR agency in Thailand, with a focus on delivering international, multilingual, and multi-media services. Our team of experts specializes in PR and Marketing, Content Creation, Product and Company Launches, and SE Asian Market Research. We cater to clients not only in Thailand but from all over the world who are looking to make their mark in SE Asia, especially in the Kingdom of Thailand. Our extensive range of services includes traditional PR and Marketing as well as digital media strategies, market research, strategic planning solutions, and advertising campaigns. We work with all major Chambers of Commerce and International Embassies in Bangkok to provide comprehensive media planning, event management, location scouting, and talent casting for commercials and films. Additionally, we offer pre-production and post-production services for films and commercials, including aerial filming and photography, audio mixing and mastering, sound design, soundtracks, jingles, editing, and voice-over services. With offices in Pattaya and Bangkok, we are a one-stop shop for all your marketing, advertising, branding, and PR needs. Our reputation for being innovative, efficient, and utilizing the latest media and technology has made us the go-to agency for many high-profile clients. We have a proven track record of success with clients such as Minor International, Minor Food, Minor Hotels, Minor Lifestyle, B. Grimm, NOK AIR, Hooters, and BMW, among others. Our founder and CEO, Markus Kreth, has over 12 years of experience in SE Asia, making us the most reliable and current agency in the region. At Asia Media Publishing Group, we are dedicated to delivering international quality services to a broad range of clients from all disciplines and commerce. Contact us today to learn more about how we can help your business thrive in SE Asia.",English,German,Thai,,,5.0,5.0,6.0,social media,public relations (pr),marketing,branding & positioning,video production,advertising,event,media planning,influencer marketing,content strategy,,,,,,,,,,,,,,
Digital Unicorn,http://www.digitalunicorn.fr?utm_source=sortlist&utm_medium=profile&utm_campaign=,55.0,Video Focus,Paris,France,,2017.0,0,"Digital Unicorn est un studio digital spécialisé dans la conception, le design et le développement de projets digitaux performants, innovants et sur mesure. Nous sommes une équipe de développeurs, designers et chefs de projet, tous experts, passionnés par notre métier et fiers des applications mobiles que nous réalisons pour nos clients. Que vous soyez une grande entreprise ou une startup innovante, quel que soit votre projet, nous sommes là pour réaliser le projet dont vous avez besoin. Solution Technologique À la pointe des dernières tendances et avancées technologiques, nous pensons et développons les meilleures solutions pour chacun de vos besoins : objets connectés, micro-géolocalisation, intelligence artificielle, réalité virtuelle… Nous favorisons les dernières technologies les plus robustes et performantes telles que React Native, Node.js, Redux ou Firebase pour le développement de vos projets. Nous aimons nous impliquer totalement dans les projets en proposant la création et l’élaboration de l’UX (User Experience) , puis de l’UI (User Interface), du Design pour nous assurer que la conception produit technique et commerciale répond réellement au besoin de l’audience cible. Nous sommes convaincus qu’une collaboration étroite dès le début d’une idée est la garantie d’un développement rapide et performant, afin d’assurer un succès futur. Nous en faisons notre priorité. Cette première étape inclut la définition des fonctionnalités clés de votre projet et du cahier des charges technique associé. Solution UX et UI Design Nos designers travaillent avec vous pour créer une interface graphique (UI) et une expérience utilisateur (UX) à la fois créatives, design et répondant aux contraintes fonctionnelles de votre projet. Nous vous invitons à lire l’article que nous avons écrit sur la définition de l’UX Design et sa différence avec l’UI Design. Les phases de conception et de développement sont très importantes. Afin de vous démarquer, le design et l’expérience utilisateur permettra de vous proposer une véritable VP (Value Proposition) pour votre projet. Ceci déterminera les premières impressions de vos utilisateurs, sachant que plus de 80 % des utilisateurs désinstallent l’application après 1 minute d'utilisation : il est donc primordial de privilégier cette partie.",English,French,Italian,Spanish,,85.0,4.99,33.0,mobile app,web application,blockchain development,website creation,software development,game development,artificial intelligence,e-commerce,ergonomy (ux/ui),seo,,,,,,,,,,,,,,
BigT,,50.0,Video Focus,Cairo Governorate,Egypt,,2009.0,0,"BigT believes that every aspiring business is capable of expanding using the right tools. Here your success is our success, and we make sure that it is achieved. Our diligent diverse team members consist of skillful experts and consultants that come together to introduce new, original and holistic marketing strategies, with creative contents using various artistic and innovative visual tools to ensure business expansion.",Arabic,English,,,,50.0,5.0,9.0,video production,advertising,e-commerce,3d,motion design,social media,seo,media planning,mobile app,website creation,,,,,,,,,,,,,,
V-So Agency,,1.0,Video Focus,Esbly,France,,2019.0,0,"Créé en 2019, au départ sous forme de micro-entreprise, la satisfaction de nos clients et la qualité de notre travail nous ont permis d’avancer et vous proposer aujourd’hui un service de qualité. Nous comprenons les défis auxquels sont confrontées les TPE, PME, commerçants et indépendants. C’est pourquoi nous avons conçu des tarifs abordables et mensualisés dès 70€/mois qui s’alignent sur la réalité financière de votre entreprise. Nous croyons fermement que la qualité ne devrait pas être sacrifiée au profit de la rentabilité.",English,French,,,,6.0,5.0,1.0,photography,website creation,video production,online advertising,community management,graphic design,branding & positioning,graphic identity,digital strategy,website administration,,,,,,,,,,,,,,
Grey Alchemy,https://greyalchemy.com/?utm_source=sortlist&utm_medium=profile&utm_campaign=,30.0,Video Focus,Bangkok,Thailand,,2013.0,0,"2013, 𝗚𝗿𝗲𝘆 𝗔𝗹𝗰𝗵𝗲𝗺𝘆 is a leading Bangkok-based digital marketing agency made up of strategic thinkers, creative doers and storytellers. Our clients range from global brands like Spotify, Marriott, Absolut, Penny Skateboards and Michelin Guide to local moguls such as Bonchon, Singha, LEO, Jaspal, and Roast. As we grow, we remain a small digital marketing agency at heart: thanks to our tight-knit team, we remain flexible, creative and personable no matter our size. The Alchemists all have different personalities, backgrounds and skills, but we all share a keen eye for style and a passion for marketing (and memes). Easy to work with and committed to our clients’ success, we love to challenge ourselves, and to be challenged. We also believe that we’re smarter working together: our various areas of expertise complement each other perfectly. We dedicate time — sometimes late into the night — to perfect our clients’ marketing strategies, growing their brands (whether big or small) and telling their stories. Can you feel the spark? If you’re searching for a creative catalyst, just get in touch. Let's see if we've got chemistry ✑⊹",English,French,Japanese,Thai,,10.0,5.0,19.0,digital strategy,social media,influencer marketing,online advertising,e-commerce,website creation,seo,community management,branding & positioning,graphic design,,,,,,,,,,,,,,
Photolicious Productions,,30.0,Video Focus,Abu Dhabi,United Arab Emirates,,2020.0,0,"Photolicious Productions passionately curates top-tier visual content and resources. We at photolicious encapsulate the seamless blend of retro charm and contemporary urban flair, exalting a distinctive blend of Photographic and Video graphic styles.",Arabic,English,Russian,,,,4.96,7.0,video production,photography,social media,,,,,,,,,,,,,,,,,,,,,
Sequin,,2.0,Video Focus,Lyon,France,,2023.0,0,"Vous avez un projet sur les réseaux sociaux ? Nous accompagnons les entreprises autour de 3 pôles : le branding, la stratégie et la production de contenus dans 4 domaines d'activités : 🍇 Vins & Spiritueux 🏩 Hôtellerie-Restauration 🎨 Design & Artisanat d'Art 🏠 Immobilier & Architecture Nos compétences : Stratégie, Planning éditorial, Production de contenus, Ads, Influence, Community Management, Tournage, Shooting Photo, Design 3D, Motion Design, Positionnement, Identité visuelle, Storytelling",English,French,,,,12.0,5.0,4.0,social media,community management,graphic design,content strategy,video production,photography,branding & positioning,graphic identity,3d,advertising,,,,,,,,,,,,,,
Amber Communications,,35.0,Video Focus,Dubai,United Arab Emirates,,2002.0,0,"We are an INDEPENDENT, INTEGRATED, STRATEGY loving full-services advertising agency based out of Dubai. We are the regional agency-on-record for all our clients - global and local. Some of our clients are Nikon MEA, Nissan (after-sales), Nissan Intelligent Choice, Himalaya, Coldstone Creamery, Britannia, AW Rostamani, Renault (after-sales), NXT Used Cars, Bajaj Consumer Goods, Middle East Film & Comic Con, Halla Shawarma, Al Galadari Group, etc.",Arabic,English,,,,12.0,4.7,5.0,advertising,branding & positioning,media planning,digital strategy,audio production,graphic design,packaging,video production,community management,print,,,,,,,,,,,,,,
Who's Mark,http://www.whoismark.de?utm_source=sortlist&utm_medium=profile&utm_campaign=,10.0,Video Focus,Munich,Germany,,2017.0,0,"Kreative Exzellenz macht den Unterschied. Wir entwickeln Kreation, die Marken und Unternehmen vom Wettbewerb abhebt und unverwechselbar macht. Unsere Schwerpunkte: Digital Design, Social Media, Branding und Campaigning. Neben der kreativen Leistung setzen wir auch Foto- und Videoproduktionen um.",English,German,Spanish,,,36.0,4.91,11.0,website creation,social media,graphic design,video production,mobile app,advertising,ergonomy (ux/ui),e-commerce,,,,,,,,,,,,,,,,
EDIIIE,,250.0,Video Focus,Gurugram,India,,2016.0,0,"EDIIIE is a premier AR/VR development company and immersive technology solutions provider, specializing in Augmented Reality (AR), Virtual Reality (VR), Mixed Reality (MR), and Extended Reality (XR) experiences. As experts in Metaverse development, we design and build virtual worlds, enabling businesses to create engaging digital ecosystems. Our services also include Blockchain solutions, NFT design and development, and advanced game development services, including mobile games, VR games, and blockchain-based gaming platforms. We are trusted by global brands like Google, Aditya Birla, and Pepsico for delivering innovative solutions in industries such as eCommerce, real estate, entertainment, manufacturing, and FMCG. EDIIIE leverages cutting-edge technologies like AI-driven processes, 3D animation, VFX production, and virtual twin technology to create interactive and immersive experiences that captivate audiences. Whether you're looking for AR/VR app development, metaverse design, or custom-built games, EDIIIE is your go-to partner for redefining digital engagement.",English,Hindi,,,,6.0,4.75,2.0,game development,3d,motion design,graphic design,mobile app,video production,branding & positioning,,,,,,,,,,,,,,,,,
SOSADIAZ,https://sosadiaz.com/?utm_source=sortlist&utm_medium=profile&utm_campaign=,21.0,Video Focus,Bogotá,Colombia,,2011.0,0,"Ideamos y creamos estrategias, contenidos y desarrollos digitales interactivos para lograr resultados positivos medibles. Contamos con un equipo multidisciplinario apasionado por la tecnología y diseño audiovisual siempre en la frontera de la innovación Conectamos marcas Amplificamos el mensaje de tu marca por medio de la creación de contenido memorable y cautivador. Somos interactivos Respiramos tecnología. Con integración de sensores, programación, contenido digital, pantallas, nuevos dispositivos y mucha creatividad generamos experiencias interactivas únicas con propósito. Crecemos en la virtualidad Somos un equipo en constante crecimiento con diferentes nacionalidades y especialidades. Con una metodología y plataformas robustas de seguimiento y conectividad, trabajamos remotamente con el cliente en el centro.",English,Spanish,,,,8.0,5.0,3.0,digital strategy,event,content strategy,website creation,innovation,3d,graphic design,motion design,branding & positioning,video production,,,,,,,,,,,,,,
Creative Engine,https://creativeengine.pk/?utm_source=sortlist&utm_medium=profile&utm_campaign=,22.0,Video Focus,Lahore,Pakistan,,2021.0,0,"Creative Engine is a Production focus company. Solving all the creative problems faced by the organisations from 3d Animations to Video Production, From Brand Development to Corporate Communication. Our creative teams are divided into specialized categories with their own team leads and client servicing. These departments are divided as follows: Video Production 3D Animation 2D Animation and Motion Design Brand & Graphic Design Corporate & Industrial Designs For more information Please visit: www.creative-engine.pk or contact us at: +923 339 6111 339 or email us at: iz@creative-engine.pk",Arabic,English,,,,4.0,5.0,1.0,3d,video production,graphic design,,,,,,,,,,,,,,,,,,,,,
